Date,Open,High,Low,Close,Adj Close,Volume
2015-11-11,4.741720,5.495440,4.589070,5.323710,5.323710,287201
2015-11-12,5.333250,5.810280,5.142430,5.247380,5.247380,231591
2015-11-13,5.295080,5.466820,4.961160,5.380950,5.380950,53324
2015-11-16,5.247380,6.001100,5.151980,5.772120,5.772120,127400
2015-11-17,5.934310,6.077420,5.676710,5.686250,5.686250,78921
2015-11-18,5.705340,6.678490,5.419110,6.611700,6.611700,247848
2015-11-19,6.554460,6.964710,6.315940,6.640320,6.640320,161112
2015-11-20,6.649860,7.308170,6.544920,7.308170,7.308170,161527
2015-11-23,7.422660,7.727960,7.069650,7.250930,7.250930,272256
2015-11-24,7.250930,7.441740,6.649860,6.936090,6.936090,114562
2015-11-25,7.002870,7.174600,5.962930,6.134670,6.134670,102386
2015-11-26,6.420890,6.764350,6.344560,6.640320,6.640320,42470
2015-11-27,6.621240,6.907460,6.258700,6.735730,6.735730,60442
2015-11-30,6.917000,7.603930,6.917000,7.575310,7.575310,135415
2015-12-01,7.613470,8.157290,7.346330,7.937860,7.937860,276666
2015-12-02,7.842450,8.205000,7.708880,7.804290,7.804290,119631
2015-12-03,7.775670,7.976020,7.021950,7.518070,7.518070,103347
2015-12-04,7.632560,8.157290,7.155520,7.756590,7.756590,88080
2015-12-07,8.052350,8.643870,7.823370,8.185920,8.185920,194368
2015-12-08,8.224080,8.510300,7.823370,8.100050,8.100050,105101
2015-12-09,8.586630,8.586630,8.014180,8.109590,8.109590,190580
2015-12-10,8.271780,8.395810,7.451280,7.623010,7.623010,126447
2015-12-11,7.689800,7.804290,6.974250,7.336790,7.336790,102088
2015-12-14,7.632560,8.014180,7.155520,7.489450,7.489450,81277
2015-12-15,7.479900,7.632560,7.145980,7.413120,7.413120,82635
2015-12-16,7.441740,7.632560,7.279550,7.432200,7.432200,40421
2015-12-17,7.489450,7.708880,7.260470,7.575310,7.575310,61267
2015-12-18,7.489450,8.462600,7.413120,8.195460,8.195460,158673
2015-12-21,8.386270,8.882390,8.329030,8.529380,8.529380,136471
2015-12-22,8.682030,8.682030,8.252700,8.395810,8.395810,40765
2015-12-23,8.395810,8.825140,8.395810,8.825140,8.825140,42951
2015-12-24,8.825140,8.882390,8.577080,8.872850,8.872850,30716
2015-12-28,8.834680,9.712430,8.834680,9.664720,9.664720,178330
2015-12-29,9.473910,10.179900,9.311720,9.368960,9.368960,153480
2015-12-30,9.416670,9.426210,8.968250,9.426210,9.426210,64627
2016-01-04,9.874620,10.065400,9.636100,9.893700,9.893700,46840
2016-01-05,10.151300,10.151300,9.540700,9.769670,9.769670,39728
2016-01-06,9.769670,9.769670,9.073200,9.349880,9.349880,49483
2016-01-07,9.054120,9.063660,7.899690,8.548460,8.548460,165475
2016-01-08,8.558000,8.586630,8.119130,8.176380,8.176380,51646
2016-01-11,8.119130,8.119130,7.365420,7.365420,7.365420,87586
2016-01-12,7.298630,8.281320,7.155520,7.937860,7.937860,96833
2016-01-13,8.176380,8.252700,7.813830,7.813830,7.813830,45178
2016-01-14,7.632560,7.890150,7.441740,7.680260,7.680260,86953
2016-01-15,7.680260,7.871070,7.250930,7.336790,7.336790,96038
2016-01-18,7.518070,7.537150,6.115580,6.516290,6.516290,110110
2016-01-19,6.773890,7.489450,6.773890,7.422660,7.422660,47243
2016-01-20,6.888380,7.804290,6.821600,7.623010,7.623010,80037
2016-01-21,7.823370,8.395810,7.823370,8.395810,8.395810,63260
2016-01-22,8.558000,8.939630,8.119130,8.577080,8.577080,84830
2016-01-25,8.596170,8.672490,8.300400,8.558000,8.558000,24029
2016-01-26,8.357650,8.930090,8.109590,8.777440,8.777440,50587
2016-01-27,8.825140,8.825140,8.157290,8.481680,8.481680,39754
2016-01-28,8.424430,8.586630,8.281320,8.529380,8.529380,23999
2016-01-29,8.538920,8.662950,8.271780,8.300400,8.300400,18521
2016-02-01,8.252700,8.453060,7.775670,7.804290,7.804290,29713
2016-02-02,7.794750,7.985560,7.451280,7.680260,7.680260,25381
2016-02-03,7.623010,7.661180,7.155520,7.308170,7.308170,36855
2016-02-04,7.527610,7.680260,7.165060,7.289090,7.289090,31306
2016-02-05,7.489450,7.489450,7.279550,7.308170,7.308170,13283
2016-02-08,7.279550,7.279550,6.573540,6.678490,6.678490,52685
2016-02-09,6.668940,6.668940,6.010640,6.535380,6.535380,61459
2016-02-10,6.583080,7.079200,6.535380,6.792970,6.792970,42407
2016-02-11,6.754810,6.754810,6.344560,6.726190,6.726190,33020
2016-02-12,6.678490,6.869300,6.602160,6.850220,6.850220,26912
2016-02-15,7.126900,8.767900,7.126900,8.233620,8.233620,236496
2016-02-16,8.309950,8.720190,7.661180,7.937860,7.937860,79622
2016-02-17,7.937860,7.995100,7.155520,7.460820,7.460820,100528
2016-02-18,7.250930,7.250930,6.649860,6.869300,6.869300,98905
2016-02-19,6.792970,7.289090,6.783430,7.126900,7.126900,49087
2016-02-22,7.155520,7.270010,6.735730,6.974250,6.974250,29770
2016-02-23,6.964710,7.460820,6.859760,7.374960,7.374960,32320
2016-02-24,7.460820,7.460820,7.012410,7.212770,7.212770,24263
2016-02-25,7.155520,7.336790,7.012410,7.250930,7.250930,14110
2016-02-26,7.537150,8.758360,7.537150,8.300400,8.300400,146366
2016-02-29,8.500760,8.853760,8.319490,8.586630,8.586630,125485
2016-03-01,8.586630,8.682030,8.042800,8.472140,8.472140,35093
2016-03-02,8.462600,8.462600,7.871070,8.061890,8.061890,29896
2016-03-03,8.100050,8.538920,7.346330,8.281320,8.281320,66326
2016-03-04,8.395810,8.701110,8.176380,8.300400,8.300400,30970
2016-03-07,8.519840,8.519840,8.061890,8.348110,8.348110,16826
2016-03-08,8.405350,8.538920,8.157290,8.252700,8.252700,15230
2016-03-09,8.128670,8.338570,8.119130,8.329030,8.329030,11020
2016-03-10,8.338570,8.386270,8.100050,8.157290,8.157290,17317
2016-03-11,8.157290,8.252700,8.061890,8.166830,8.166830,13723
2016-03-14,8.071430,8.309950,8.071430,8.147750,8.147750,12069
2016-03-15,8.185920,8.185920,7.880610,8.033270,8.033270,14763
2016-03-16,8.042800,8.205000,7.928320,7.947400,7.947400,22217
